,roc_auc,pr_auc,precision,recall,f1,precision@1,recall@1,map@1,ndcg@1,precision@3,recall@3,map@3,ndcg@3,precision@5,recall@5,map@5,ndcg@5
PopularityBaseline,0.8171888896786517,0.915778405298852,0.7875700458481916,0.9526408450704226,0.8622764033305446,0.9480212640283521,0.335728483402902,0.9570661896243292,0.9570661896243292,0.8389446741484544,0.8057195388590737,0.9287500828198503,0.9486624093024204,0.6549911399881867,0.9851123037169549,0.9527160769893329,0.971744614418933
LogisticRegression,0.8349261214934536,0.9285759705290424,0.9236505286588759,0.7305457746478873,0.8158269845170804,0.931777909037212,0.32676406281057446,0.9406678592725104,0.9406678592725104,0.8296908840322897,0.7946680580401511,0.9123600344530577,0.9356911029207008,0.6542232722976964,0.9841930033790499,0.9420184025707281,0.9645715960002499
RandomForest,0.8677464014157408,0.9438735851486773,0.9237894736842105,0.7725352112676056,0.8414189837008629,0.9465445953927939,0.33350725501888295,0.9555754323196184,0.9555754323196184,0.8308722189407363,0.7973514211886304,0.9184390114622673,0.9411133575150457,0.6536916715888955,0.9835867620751343,0.9460725998807394,0.968114212317319
XGBoost,0.869971914822267,0.9448538606253127,0.8676863925108659,0.9138204225352112,0.89015606242497,0.9489072652096869,0.3342377260981912,0.9579606440071556,0.9579606440071556,0.8300846623351053,0.7965215662890082,0.9174368912741004,0.9407401209972986,0.6535735380980507,0.9835171934009144,0.9457089379182402,0.9681674012174201
LightGBM,0.8706631432617444,0.9443468512142272,0.8695396998406976,0.9129401408450705,0.8907115558036672,0.9497932663910219,0.33454084675014906,0.9588550983899821,0.9588550983899821,0.8301831069108092,0.7966805804015106,0.9173540714238388,0.9407823982465343,0.6532191376255168,0.9831196581196581,0.9451402968263433,0.96790873792258
LightGBM_Ranker,0.6082837719250285,0.8311511127828592,,,,0.9787359716479622,0.34935400516795867,0.9880739415623137,0.9880739415623137,0.8622760385902737,0.8287418008348241,0.9679901278738487,0.977553881868347,0.658830478440638,0.9897336513615583,0.9803851123037169,0.9890711812381
